descripcion,presentacion
ADEROGYL,Ampollas con 1
,
APASMO,Gotas con 20 ml
APASMO COMPUESTO,Comprimidos con 20 comprimidos
,
IBU MEJORAL 600,Comprimidos con 10 comprimidos
,
IBU MEJORAL RA 600,Cápsulas con 10 cápsulas
IBU MEJORAL RA 600,Cápsulas con 20 cápsulas
,
IBU MEJORAL FLEX,Comprimidos con 10 comprimidos
IBU MEJORAL FLEX  600,Comprimidos con 10 comprimidos
,
MARATHON caps blandas TEVA (**),Cápsulas con 30 cápsulas
MARATHON caps blandas TEVA (**),Cápsulas con 60 cápsulas
MARATHON ANTIOXIDANTE caps. blandas TEVA (**),Cápsulas con 30 cápsulas
,
MEJORAL IBUPROFENO 600,Comprimidos con 10 comprimidos
MEJORAL IBUPROFENO 600,Cápsulas con 20 cápsulas
MEJORAL IBUPROFENO 600 RA,Cápsulas con 10 cápsulas
MEJORAL PAR. 1000 mg,Comprimidos masticables con 30 comprimidos masticables
,
MICTASOL AZUL,Grageas con 50
,
ORALSONE,Comprimidos con 12
102 PLUS,Comprimidos con 30
102 PLUS,Comprimidos con 60
102 PLUS,Comprimidos con 90
102 PLUS EFERVESCENTE,Polvo efervecente con 15 sobres
,
102 MAGNESIO,Comprimidos con 30
102 MAGNESIO Gummies,Frasco con 90 unid
102 MUJER,Cápsulas blandas con 30
102 SPORT BCAA,Polvo con 30 sobres
102 SPORT MAX,Polvo con 30 sobres
,
ALERMUC,Comprimidos con 10 comprimidos
ALERMUC,Comprimidos con 30 comprimidos
,
ATOMO ACEITE VERDE IMVI,Aceite x 120 ml
ATOMO ACEITE CBD IMVI,Aceite x 120 ml
,
ATOMO ARNICA IMVI,Gel x 30 gr
ATOMO ARNICA IMVI,Gel x 80 gr
ATOMO ARNICA IMVI,Roll On x 90 gr
,
ATOMO CANNABIDIOL CBD IMVI,Crema x 110 gr
,
ATOMO DESINFLA AEROSOL IMVI (**),Aerosol x 165 gr
ATOMO DESINFLA CLAS IMVI (**),Crema x 40 gr
ATOMO DESINFLA CLAS IMVI (**),Crema x 110 gr
ATOMO DESINFLA CLAS IMVI (**),Crema x 220 gr
ATOMO DESINFLA CLAS  MONO IMVI (**),Crema x 10 gr x 15
ATOMO DESINFLA FORTE IMVI (**),Crema x 100 gr
,
ATOMO DESINFLA GELDIC IMVI (**),Gel x 30 gr
ATOMO DESINFLA GELDIC IMVI (**),Gel X 100 gr
ATOMO DESINFLA FORTE GELDIC IMVI (**),Gel x 50 gr
,
CERAX,Gotas con 10 ml
,
CHOFITOL,Comprimidos con 20 comprimidos
CHOFITOL PLUS,Gotas con 40 ml
CHOFITOL PLUS,Gotas con 120 ml
,
COLLUBIAZOL N,Spray con 45 ml
,
COLTIX ADVANCE,Gotas x 12 ml
COLTIX ALERX,Gotas x 5 ml
COLTIX COLIRIO,Gotas con 12 ml
COLTIX HIDRA,Gotas x 12 ml
COLTIX MULTIPROPÓSITO,Solución x 150 ml
,
CURFLEX CBD x 100 gr con aroma,Pomo x 100 gr
CURFLEX CBD x 100 gr sin aroma,Pomo x 100 gr
,
CURFLEX DUO,Pote 310 gr
,
CURFLEX PLUS,Comprimidos con 30
,
CURFLEX UCII,Comprimidos con 30
,
CURFLEX UCII+CURFLEX CBD S/AR,Pack 30 compr + 100 gr crema
,
CURFLEX TRIPLE ACCION,Comprimidos con 30
,
CURFLEX PLUS + CURFLEX CBD C/AR,30 compr + 100 gr crema
,
GYNODERM CARE IMVI,Gel x 40 gr
,
GYNODERM HYALU 02% IMVI,Jabón líquido con 180 ml
,
GYNODERM JABÓN LÍQUIDO IMVI,Jabón líquido con 180 ml
,
HEXA DEFITAL NF,Loción con 120 ml
HEXA DEFITAL NF,Shampoo con 120 ml
HEXA REPELENTE MOSQUITO*,Aerosol con 170ml
,
